Territory,County,Address,Max.Sim.CCS,Max.Sim.CHAd eMo,Max.Sim.Fast AC,Max.Sim. AC Socket,CCS kWs,CHAd eMO kWs,AC Fast kWs,AC Socket kWs,Latitude,Longitude,Open Hours,Route / Exit
RoI,Dublin,Dublin,0,0,0,2,,,22(2),53.453217,-7.104172,24 x 7,,
,,"Tesco Clarehall, Malahide Rd, Northern Cross,",,,,,,,,,,,,
RoI,Dublin,"Dublin, Dublin",0,0,0,2,,,22(2),53.401559,-6.179905,24 x 7,,
,,"Tesco Artane, Artane Castle, Kilmore Rd, Artane,",,,,,,,,,,,,
RoI,Dublin,"Co. Dublin, Dublin",0,0,0,2,,,22(2),53.383207,-6.216304,24 x 7,,
,,"Tesco Finglas Clearwater, Clearwater Shopping",,,,,,,,,,,,
RoI,Dublin,"Centre, Finglas, Dublin, Dublin",0,0,0,2,,,22(2),53.383092,-6.296249,24 x 7,,
,,"Tesco Blanchardstown, Roselawn Shopping",,,,,,,,,,,,
,,"Centre, Roselawn Rd, Blanchardstown, Co.",,,,,,,,,,,,
RoI,Dublin,"Dublin, Dublin",0,0,0,2,,,22(2),53.382607,-6.381065,24 x 7,,
,,"Circle K Service Station, Finglas Road, Glasnevin,",,,,,,,,,,,,
RoI,Dublin,"Glasnevin, Dublin",1,1,1,0,50,50,43,53.370817,-6.280923,24 x 7,,
,,"Tesco Lucan, Tesshopping Centre, Hillcrest Dr,",,,,,,,,,,,,
RoI,Dublin,"Lucan, Co. Dublin, Dublin",0,0,0,2,,,22(2),53.352862,-6.459997,24 x 7,,
,,"Tesco Liffey Valley, Fonthill Rd, Liffey Valley,",,,,,,,,,,,,
RoI,Dublin,"Clondalkin, Co. Dublin, Dublin",,0,0,0,4,,,22(4),53.350242,-6.388903,24 x 7,
,,"Irish Rail Heuston Train Station, St. Johns Road",,,,,,,,,,,,
RoI,Dublin,"West, Dublin",,0,0,0,4,,,22(4),53.346032,-6.292832,24 x 7,
,,"Tesco Clondalkin, Boot Rd, Clondalkin, Co.",,,,,,,,,,,,
RoI,Dublin,"Dublin, Dublin",,0,0,0,2,,,22(2),53.3201,-6.394229,24 x 7,
,,"Circle K Service Station, Promenade Road,",,,,,,,,,,,,
RoI,Dublin,Dublin,1,2,2,0,2,50(2),50(2),22(2),53.353856,-6.212747,24 x 7,
,,"Parnell Square West, Outside Rotunda Hospital,",,,,,,,,,,,,
RoI,Dublin,Dublin,1,0,0,0,2,,,22(2),53.353218,-6.264812,24 x 7,
RoI,Dublin,"Greek Street, Dublin",1,0,0,0,2,,,22(2),53.347479,-6.273155,24 x 7,
RoI,Dublin,"North Wall Quay, Dublin",1,0,0,0,2,,,22(2),53.347085,-6.23198,24 x 7,
RoI,Dublin,"Sir John Rogerson's Quay, Dublin",2,2,2,0,2,50(2),50(2),22(2),53.345953,-6.238395,24 x 7,
RoI,Dublin,"Mark Street, Dublin",2,0,0,0,2,,,22(2),53.3453,-6.2513,24 x 7,
RoI,Dublin,"Merrion Square Park, Dublin",2,0,0,0,2,,,22(2),53.340947,-6.250199,24 x 7,
RoI,Dublin,"Lower Pembroke Street, Dublin",2,0,0,0,2,,,22(2),53.336699,-6.252228,24 x 7,
RoI,Dublin,"Mount Street Crescent, Dublin",2,0,0,0,2,,,22(2),53.336496,-6.242715,24 x 7,
RoI,Dublin,"Earlsfort Terrace, Dublin",2,0,0,0,2,,,22(2),53.335409,-6.257851,24 x 7,
RoI,Dublin,"Herbert Street, Dublin",2,0,0,0,2,,,22(2),53.335203,-6.246205,24 x 7,
RoI,Dublin,"Court Apartments, Wilton Place, Dublin",2,0,0,0,2,,,22(2),53.3344,-6.24871,24 x 7,
RoI,Dublin,"Synge Street, Dublin",2,0,0,0,2,,,22(2),53.333894,-6.267083,24 x 7,
RoI,Dublin,"29 Adelaide Road, Dublin",2,0,0,0,2,,,22(2),53.332326,-6.255804,24 x 7,
,,"Irish Rail Clontarf DART Station, Clontarf Road, ,",,,,,,,,,,,,
RoI,Dublin,Dublin,3,0,0,0,2,,,22(2),53.362913,-6.227746,24 x 7,
RoI,Dublin,"Kincora Road, Dublin",3,0,0,0,2,,,22(2),53.360832,-6.183082,24 x 7,
RoI,Dublin,"Thorncastle Street, Dublin",4,0,0,0,2,,,22(2),53.342945,-6.228056,24 x 7,
RoI,Dublin,"South Lotts Road, Dublin",4,0,0,0,2,,,22(2),53.338798,-6.232894,24 x 7,
RoI,Dublin,"Belmont Avenue, Dublin",4,0,0,0,2,,,22(2),53.322343,-6.238683,24 x 7,
,,"SuperValu Raheny, Raheny Shopping Centre,",,,,,,,,,,,,
RoI,Dublin,"Clontarf East, Dublin","5, D05 EY66",3,3,0,"1150(2), 5070(2), 50",,,22,53.380519,-6.180895,24 x 7,
RoI,Dublin,"Chelmsford Road, Dublin",6,0,0,0,2,,,22(2),53.325515,-6.252422,24 x 7,
RoI,Dublin,"Tesco Metro, Rathmines Rd Upper, Dublin",6,0,0,0,2,,,22(2),53.321013,-6.265924,24 x 7,
,,"Circle K Service Station, Templeville Road,",,,,,,,,,,,,
RoI,Dublin,Dublin,6,1,1,1,0,50,50,43,53.3044,-6.3138,24 x 7,
RoI,Dublin,"Nelson Street, Dublin",7,0,0,0,2,,,22(2),53.3582,-6.2672,24 x 7,
RoI,Dublin,"St. Joseph's Road, Dublin",7,0,0,0,2,,,22(2),53.354892,-6.287405,24 x 7,
RoI,Dublin,"Liffey Street West, Dublin",7,0,0,0,2,,,22(2),53.347636,-6.285234,24 x 7,
RoI,Dublin,"Golden Lane, Dublin",8,0,0,0,2,,,22(2),53.340668,-6.268429,24 x 7,
RoI,Dublin,"Hollybank Road, Dublin",9,0,0,0,2,,,22(2),53.366828,-6.256153,24 x 7,
RoI,Dublin,"Finglas Road, Dublin 11",,0,0,0,2,,,22(2),53.369052,-6.276341,24 x 7,
RoI,Dublin,"The Plaza, Park West Road, Dublin 12",,0,0,0,2,,,22(2),53.331883,-6.372194,24 x 7,
RoI,Dublin,"Crumlin Road, Dublin 12",,0,0,0,2,,,22(2),53.329905,-6.299208,24 x 7,
RoI,Dublin,"St. Agnes Road, Dublin 12",,0,0,0,2,,,22(2),53.31948,-6.315448,24 x 7,
,,"Supervalu Kimmage, Sundrive Shopping Centre,",,,,,,,,,,,,
RoI,Dublin,"Sundrive Road, Dublin 12",,3,3,0,"1150(2), 5070(2), 50",,,22,53.319291,-6.292925,24 x 7,
RoI,Dublin,"Greenhills Road, Dublin 12",,0,0,0,2,,,22(2),53.316717,-6.333704,24 x 7,
RoI,Dublin,"Sutton DART Station, Station Road, Dublin 13",,0,0,0,2,,,22(2),53.391623,-6.116236,24 x 7,
RoI,Dublin,"Main Street, Dublin 14",,0,0,0,2,,,22(2),53.290689,-6.245232,24 x 7,
,,"Dundrum Shopping Centre, Wyckham Way,",,,,,,,,,,,,
RoI,Dublin,Dublin 14,,0,0,0,4,,,22(4),53.286679,-6.240973,24 x 7,
,,"Blanchardstown HPC Hub, Retail Park 1,",,,,,,,,,,,,
RoI,Dublin,"Blanchardstown Centre,, Dublin 15",,8,8,0,200(8),70(8),,,53.395341,-6.389534,24 x 7,
RoI,Dublin,"Blanchardstown Centre, Navan Road, Dublin 15",,2,2,0,"1150, 5070, 50",,,22,53.392154,-6.39283,24 x 7,
RoI,Dublin,"Mill Road, Dublin 15",,0,0,0,2,,,22(2),53.386875,-6.374254,24 x 7,
,,"Irish Rail Coolmine Train Station,",,,,,,,,,,,,
RoI,Dublin,"Carpenterstown Road, Dublin 15",,0,0,0,2,,,22(2),53.377326,-6.391846,24 x 7,
RoI,Dublin,"Park Avenue, Castleknock, Dublin 15",,0,0,0,2,,,22(2),53.375177,-6.364012,24 x 7,
,,"SuperValu Knocklyon,Knocklyon Road,",,,,,,,,,,,,
RoI,Dublin,"Templeogue Village, Dublin 16, D16 W2V0",,3,3,0,"1200(2), 5070(2), 50",,,22,53.282888,-6.31908,24 x 7,
,,"Tesco White Pines, Stocking Avenue, Dublin,",,,,,,,,,,,,
RoI,Dublin,"D16 V3K2, Dublin 16, D16 V3K2",,0,0,0,2,,,22(2),53.273049,-6.31502,24 x 7,
,,"Circle K Service Station, Clonshaugh Road,",,,,,,,,,,,,
RoI,Dublin,Dublin 17,,1,1,1,0,50,50,43,53.412778,-6.216111,24 x 7,
,,"Northside Shopping Centre, Oscar Traynor",,,,,,,,,,,,
RoI,Dublin,"Road, Dublin 17, D17 TP66",,3,1,0,"1150(2), 50 50",,,22,53.395465,-6.214452,24 x 7,
,,"Stillorgan Luas Park & Ride, Blackthorn Drive,",,,,,,,,,,,,
RoI,Dublin,"Stillorgan Office Park, Dublin 18",,1,1,1,4,50,50,43,22(4),53.280332,-6.213815,24 x 7
,,"Sandyford Luas Park and Ride, Blackthorn",,,,,,,,,,,,
RoI,Dublin,"Avenue, Dublin 18",,0,0,0,2,,,22(2),53.277164,-6.203613,24 x 7,
RoI,Dublin,"Bray Road, Dublin 18",,0,0,0,2,,,22(2),53.260088,-6.149376,24 x 7,
,,"Carrickmines Luas Park and Ride, Off Glenamuck",,,,,,,,,,,,
RoI,Dublin,"Road North Roundabout, Dublin 18",,0,0,0,4,,,22(4),53.252775,-6.169813,24 x 7,
,,"Shankhill Dart Station, Shanganagh Wood,",,,,,,,,,,,,
RoI,Dublin,Dublin 18,,0,0,0,2,,,22(2),53.236875,-6.11792,24 x 7,
,,"Circle K Service Station Newlands Cross (R113),",,,,,,,,,,,,
RoI,Dublin,"Fonthill Road (R113), Dublin 22",,1,1,1,0,50,50,43,53.3145,-6.39389,24 x 7,R113
,,"The Square Shopping Centre, Belgard Road",,,,,,,,,,,,
RoI,Dublin,"(R113), Dublin 24",,1,1,0,3,50,50,22(3),53.285621,-6.369887,24 x 7,R113
RoI,Dublin,"Main Street, Dublin 24",,0,0,0,2,,,22(2),53.281093,-6.469944,24 x 7,
,,"Circle K Service Station, Corballis Road North,",,,,,,,,,,,,
RoI,Dublin,Dublin Airport,,1,1,1,0,50,50,43,53.428658,-6.234603,24 x 7,
RoI,Dublin,"Marine Road, Dun Laoghaire",,0,0,0,2,,,22(2),53.2938,-6.1348,24 x 7,
,,"Park Pointe Shopping Centre, Glenageary Road",,,,,,,,,,,,
RoI,Dublin,"Upper, Dun Laoghaire",,3,1,0,100(3),,50,,53.282568,-6.143881,24 x 7,
,,"Lucan Shopping Centre (SuperValu), Newcastle",,,,,,,,,,,,
RoI,Dublin,Road (R120 At,"N4 Jnct 4), Lucan",1,1,0,0,100,50,,53.349266,-6.452681,24 x 7,
,,"Irish Rail Rush and Lusk Train Station, Station",,,,,,,,,,,,
RoI,Dublin,"Road, Lusk",,0,0,0,2,,,7(2),53.520646,-6.144629,24 x 7,
,,"Malahide DART Station, Railway Avenue,",,,,,,,,,,,,
RoI,Dublin,Malahide,,0,0,0,2,,,22(2),53.451478,-6.156156,24 x 7,
RoI,Dublin,"James's Terrace, Malahide, Malahide",,0,0,0,2,,,22(2),53.451232,-6.15157,24 x 7,
RoI,Dublin,"Supervalu Newcastle, Graydon Road, Newcastle",,4,0,0,100(4),,,,53.298772,-6.496403,24 x 7,
,,"Citywest Shopping Centre Car Park, Citywest",,,,,,,,,,,,
RoI,Dublin,"Drive, Saggart",,0,0,0,2,,,22(2),53.283222,-6.421705,24 x 7,
RoI,Dublin,"Public Parking, South Strand Road, Skerries",0,0,0,2,,,22(2),53.578784,-6.104879,24 x 7,,
,,"Talbot Hotel Stillorgan, Stillorgan Road,",,,,,,,,,,,,
RoI,Dublin,Stillorgan,2,0,0,100(2),,,,53.295343,-6.203373,24 x 7,,
RoI,Dublin,"Old Dublin Road, Stillorgan",0,0,0,2,,,22(2),53.290457,-6.199702,24 x 7,,
RoI,Dublin,"Main Street, Swords",0,0,0,2,,,22(2),53.45423,-6.223713,24 x 7,,
,,"Swords Pavilions Shopping Centre, Malahide Rd,",,,,,,,,,,,,
RoI,Dublin,"Swords Demesne, Swords",0,0,0,10,,,22(10),53.453917,-6.221329,24 x 7,,
RoI,Dublin,"Tesco, Tesco, Airside (R125), Swords",0,0,0,2,,,22(2),53.445169,-6.21589,24 x 7,R125,
RoI,Galway,"Irish Rail, Church Street, Athenry",0,0,0,2,,,22(2),53.29953,-8.75104,24 x 7,,
,,"Loughrea Service Station (TOP), Athenry Road",,,,,,,,,,,,
RoI,Galway,"Loughrea, H62 NX74",4,0,0,100(4),,,,53.201772,-8.584795,24 x 7,,
RoI,Galway,"Irish Rail, Station Road, Ballinasloe",0,0,0,2,,,7(2),53.336624,-8.239191,24 x 7,,
RoI,Galway,"Off Society Street, Ballinasloe",0,0,0,2,,,22(2),53.330623,-8.225283,24 x 7,,
RoI,Galway,"Saint Michael's Square, Ballinasloe",1,1,0,1,50,50,22,53.329333,-8.220936,24 x 7,,
,,"Circle K Service Station (Dolan's), Athlone Road",,,,,,,,,,,,
